eid,SB,LPA,MVPA,MVPA2,MVPA3,total,missing,MVPA_total,MVPA2_total,MVPA3_total,VPA_total,LPA_total,SB_total,meanENMO
9090909,86146,15934,14113,18880,10773,120960,0,0.11667493386243387,0.15608465608465608,0.0890625,0.023726851851851853,0.13172949735449735,0.7121858465608466,61.35965029761904
9090909,94468,13445,9500,13046,6948,120960,1,0.07853835978835978,0.10785383597883598,0.05744047619047619,0.007589285714285714,0.11115244708994709,0.7809854497354497,36.93910911961904
9090909,106003,8494,3545,5743,1791,120240,0,0.02948270126413839,0.04776280771789754,0.014895209580838323,0.00024118429807052562,0.0706420492348636,0.8815951430472388,18.68554890219561
9090909,96043,16842,4710,8074,2772,120960,1,0.038938492063492064,0.06674933862433863,0.022916666666666665,0.000925925925925926,0.13923611111111112,0.7940062830687831,28.519243710678825
9090909,26776,3422,1587,2167,1253,32365,0,0.04903445079561254,0.06695504402904372,0.038714660899119416,0.005468870693650548,0.10573150007724394,0.8273134558937123,28.48745249497914
